"Date","Price","Open","High","Low","Vol.","Change %"
"25/10/2021","14.7046","14.8250","14.8905","14.6739","","-0.76%"
"22/10/2021","14.8175","14.6855","14.8444","14.5614","","1.02%"
"21/10/2021","14.6675","14.3981","14.7037","14.3793","","1.91%"
"20/10/2021","14.3925","14.5297","14.5781","14.3503","","-0.89%"
"19/10/2021","14.5224","14.6818","14.6953","14.5023","","-1.08%"
"18/10/2021","14.6816","14.6400","14.8052","14.6081","","0.60%"
"15/10/2021","14.5943","14.7787","14.8030","14.5935","","-1.29%"
"14/10/2021","14.7846","14.8069","14.8361","14.7009","","-0.13%"
"13/10/2021","14.8039","14.9771","14.9891","14.7840","","-1.15%"
"12/10/2021","14.9755","15.0594","15.0922","14.9099","","-0.52%"
"11/10/2021","15.0543","14.9607","15.0810","14.8966","","0.68%"
"08/10/2021","14.9532","14.9565","15.0112","14.7861","","0.16%"
"07/10/2021","14.9300","15.0013","15.0341","14.8182","","-0.23%"
"06/10/2021","14.9638","14.9973","15.2022","14.9542","","-0.16%"
"05/10/2021","14.9884","15.0338","15.1131","14.9531","","-0.24%"
"04/10/2021","15.0238","14.9067","15.0786","14.8505","","1.05%"
"01/10/2021","14.8682","15.0892","15.1498","14.8391","","-1.46%"
"30/09/2021","15.0884","15.1831","15.2551","14.9830","","-0.57%"
"29/09/2021","15.1756","15.0950","15.2266","14.9659","","0.55%"
"28/09/2021","15.0925","14.9708","15.1719","14.9109","","0.91%"
"27/09/2021","14.9563","14.9492","15.1057","14.8594","","0.10%"
"24/09/2021","14.9417","14.7450","15.0405","14.7345","","1.38%"
"23/09/2021","14.7388","14.7778","14.8679","14.5662","","-0.35%"
"22/09/2021","14.7902","14.8417","14.8833","14.6543","","-0.23%"
"21/09/2021","14.8246","14.7888","14.9023","14.6569","","0.27%"
"20/09/2021","14.7850","14.7188","14.8632","14.7188","","0.70%"
"17/09/2021","14.6825","14.5882","14.7923","14.5340","","0.62%"
"16/09/2021","14.5915","14.4342","14.6292","14.3806","","1.28%"
"15/09/2021","14.4067","14.3121","14.4892","14.2447","","0.61%"
"14/09/2021","14.3192","14.1491","14.3430","14.1247","","1.20%"
"13/09/2021","14.1496","14.2093","14.2601","14.1258","","-0.34%"
"10/09/2021","14.1983","14.1981","14.2348","14.0612","","-0.01%"
